Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
1011;1011;0000;0100;0111;0110;0476;MOV;;EBX;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;0111;0477;MOV;;BX;;;;Immediate;;word;;;;;;;;;;
1011;1100;0000;0100;0111;1000;0478;MOV;;ESP;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;1001;0479;MOV;;SP;;;;Immediate;;word;;;;;;;;;;
1011;1101;0000;0100;0111;1010;047A;MOV;;EBP;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;1011;047B;MOV;;BP;;;;Immediate;;word;;;;;;;;;;
1011;1110;0000;0100;0111;1100;047C;MOV;;ESI;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;1101;047D;MOV;;SI;;;;Immediate;;word;;;;;;;;;;
1011;1111;0000;0100;0111;1110;047E;MOV;;EDI;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;1111;047F;MOV;;DI;;;;Immediate;;word;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1100;0110;0000;0100;1000;0000;0480;MOV;;register;;byte;;Immediate;;byte;;MOV Immediate to Address;;;;;;;;
;;0000;0100;1000;0001;0481;MOV;;displacement;;byte;;Immediate;;byte;;address is in displacement;;;;;;;;
;;0000;0100;1000;0010;0482;MOV;;base reg;;byte;;Immediate;;byte;;address is in base register (general);;;;;;;;
;;0000;0100;1000;0011;0483;MOV;;base + displacement;;byte;;Immediate;;byte;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;1000;0100;0484;MOV;;(Index*Scale)+Disp;;byte;;Immediate;;byte;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
****;;;;;;;;;;;;;;;;;MOV for control, debug, test regs not implemented yet;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1101;0000;0101;0000;0000;0500;LEA;;general register;;word;;displacement;;word;;Load Effective address : Can only have an address in the second operand;;;;;;;;
;;0000;0101;0000;0001;0501;LEA;;general register;;;;base reg;;word;;;;;;;;;;
;;0000;0101;0000;0010;0502;LEA;;general register;;;;base + displacement;;word;;;;;;;;;;
